# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	379383
#@/user_id	1ce8a279-56fe-406e-b0d5-b1f889d2d1cd
bai shou wan 	掰手腕	c=1 d=0.647265 t=379383
bai tai 	百態	c=2 d=6.55685e-06 t=379383
bai tan 	擺攤	c=2 d=2.93801e-230 t=379383
bai tian 	白天	c=4 d=5.92261e-15 t=379383
bai tuo 	拜託	c=1 d=4.89775e-15 t=379383
bai wan 	百萬	c=2 d=0.138761 t=379383
bai xian 	白線	c=2 d=3.58175e-10 t=379383
bai xing 	百姓	c=1 d=0 t=379383
bai xue 	白學	c=1 d=1.9404e-34 t=379383
bai yan song 	白巖松	c=1 d=0 t=379383
bai ye 	白夜	c=2 d=1.6416 t=379383
bai yue 	百越	c=0 d=2.24036e-79 t=379383
bai yue ya 	百越鴨	c=1 d=2.25159e-78 t=379383
bai zhao 	百兆	c=1 d=2.16669e-67 t=379383
bai zhe 	敗者	c=3 d=1.17739e-31 t=379383
bai zhou 	白粥	c=2 d=1.96731e-49 t=379383
ban 	伴	c=2 d=6.83135e-288 t=379383
ban 	半	c=108 d=0.0479438 t=379383
ban 	搬	c=30 d=0.0101545 t=379383
ban 	板	c=5 d=1.53027e-64 t=379383
ban 	版	c=42 d=0.182792 t=379383
ban 	班	c=49 d=0.000126534 t=379383
ban 	般	c=3 d=1.10611e-10 t=379383
ban 	辦	c=64 d=1.9278e-14 t=379383
ban ben 	版本	c=251 d=1.09486 t=379383
ban ben de 	版本的	c=1 d=7.45395e-44 t=379383
ban ben er 	扳本兒	c=1 d=2.40322e-80 t=379383
ban ben hao 	版本號	c=10 d=1.70967e-36 t=379383
ban chang 	半場	c=1 d=1.83312e-12 t=379383
ban che 	板車	c=3 d=2.57544e-12 t=379383
ban che 	班車	c=2 d=2.3003e-207 t=379383
ban chu lai 	搬出來	c=1 d=0.000323925 t=379383
ban chu qu 	搬出去	c=2 d=9.61709e-71 t=379383
ban dao 	搬到	c=10 d=2.20258e-25 t=379383
ban dao ti 	半導體	c=6 d=5.91699e-92 t=379383
ban deng 	板凳	c=0 d=6.25387e-68 t=379383
ban dong xi 	半東西	c=1 d=8.8274e-63 t=379383
ban fa 	辦法	c=30 d=8.96139e-05 t=379383
ban fen 	半分	c=0 d=0 t=379383
ban fo 	半佛	c=3 d=0 t=379383
ban ge 	半個	c=27 d=0.00168231 t=379383
ban ge xiao shi 	半個小時	c=2 d=2.67172e-32 t=379383
ban ge xiao shi hou 	半個小時後	c=2 d=9.95094e-237 t=379383
ban ge yue 	半個月	c=8 d=3.83023e-05 t=379383
ban ge yue qian 	半個月前	c=2 d=1.34194e-19 t=379383
ban gong 	辦公	c=29 d=1.41343e-13 t=379383
ban gong shi 	辦公室	c=4 d=2.16961e-19 t=379383
ban gong ting 	辦公廳	c=1 d=5.97869e-67 t=379383
ban gong yi 	辦公椅	c=3 d=1.42052e-12 t=379383
ban gong zhuo 	辦公桌	c=1 d=1.3505e-35 t=379383
ban guang ming 	搬光明	c=1 d=5.6559e-208 t=379383
ban guo qu 	搬過去	c=1 d=8.96547e-217 t=379383
ban guo qu tiao shi 	搬過去調試	c=1 d=7.87272e-40 t=379383
ban hao 	辦好	c=1 d=4.13307e-107 t=379383
ban hui 	半會	c=1 d=7.85348e-70 t=379383
ban hui qu 	搬回去	c=0 d=1.33448e-72 t=379383
ban ji qi 	辦機器	c=1 d=0 t=379383
ban jia 	半價	c=5 d=2.45819e-52 t=379383
ban jia 	搬家	c=9 d=3.8544e-13 t=379383
ban jiang 	頒獎	c=1 d=4.86918e-05 t=379383
ban jiao 	半角	c=1 d=2.53866e-78 t=379383
ban jing 	半徑	c=5 d=1.60313e-99 t=379383
ban ka 	板卡	c=3 d=1.17018e-231 t=379383
ban kuai 	板塊	c=1 d=1.36646e-173 t=379383
ban lai 	搬來	c=2 d=7.36772e-221 t=379383
ban lang 	伴郎	c=14 d=1.13733e-52 t=379383
ban lang tuan 	伴郎團	c=2 d=0 t=379383
ban le 	搬了	c=1 d=0.00286554 t=379383
ban le 	辦了	c=1 d=1.46343e-68 t=379383
ban li 	班裏	c=1 d=0.000982903 t=379383
ban li 	辦理	c=11 d=3.6403e-13 t=379383
ban li de 	辦理的	c=1 d=5.76618e-53 t=379383
ban luo 	半裸	c=0 d=2.274e-166 t=379383
ban luo zhao 	半裸照	c=1 d=2.2854e-165 t=379383
ban ni lu 	班尼路	c=1 d=3.39205e-105 t=379383
ban nian 	半年	c=25 d=7.54179e-05 t=379383
ban nian hou 	半年後	c=4 d=6.32957e-12 t=379383
ban pai 	半拍	c=1 d=6.34839e-67 t=379383
ban qian 	搬遷	c=1 d=4.6475e-45 t=379383
ban qiao 	板橋	c=1 d=1.90989e-150 t=379383
ban qiao shui ku 	板橋水庫	c=3 d=4.22867e-150 t=379383
ban qu 	半區	c=2 d=1.76856e-84 t=379383
ban quan 	半圈	c=2 d=3.09473e-114 t=379383
ban quan 	版權	c=9 d=3.22419e-08 t=379383
